vhw
Schlechtere Bezahlung
Schlechtere Bezahlung
Schlechtere Bezahlung aufgrund äußerer Merkmale
Schlechtere Bezahlung von Mitarbeitern mit Migrationshintergrund
Unterbezahlung
Weniger Trinkgeld
Weniger Trinkgeld geben
...von anderen angegriffen (mit Taten; z.B. Gewalt); ohne dass dies Folgen für die Täter hat.
...zu bestimmten Arbeiten / Maßnahmen gezwungen (z.B. Zwangsarbeit).
anderstämmige menschen schlagen oder schlimmeres
Angriffe auf Geflüchtetenunterkunft
Anspucken
Ausrottung
Bespucken
Brandstiftung von Geflüchtetenunterkünften
Drangsalieren/Handgreiflich werden
es werden Menschen anderer Herkunft attackiert
Gewalt
Gewalt ausüben
Gewalt gegen Ausländer
Gewalt wegen der Hautfarbe; Herkunft; Religion oder sexuellen Orientierung
Gewaltanwendung
Gewaltanwendung
gewaltsame Übergriffe auf Männern;die die Kippa tragen
Gewalttätigkeiten gegen bestimmte Gruppen
gewalttaten gegen kirchen synagogen moscheen
Gewalttätig gegen Menschen mit Migrationshintergrund oder Ausländern zu sein.
Handgreiflichkeiten
Häuser von Ausländern anzünden
jemanden körperlich angreifen weil er eine andere Hautfarbe hat
jemanden körperlich angreifen weil er nicht deutsch ist
Körperliche Angriffe auf Menschen nur aufgrund ihrer Hautfarbe oder Aussehens
körperliche angriffe aufgrund des aussehens
körperliche Gewalt
Körperliche Gewalt aus rassistischen Motiven
Körperliche oder verbale Angriffe auf der Strasse
Misshandel
Mord aus rassistischen Motiven
physische Gewalt
Polizeigewalt
Prügel
rassistisch motivierte Gewalttaten
Rassistische Hetzjagden in Chemnitz
Rechte Gewalt
Sklaverei
tödlich angreifen
Versklavung von Schwarzen in Amerika
Zerstorung fremder Kulturgüter
grabschen
Judenverfolgung
Verfolgung
Verfolgung
Aneignung von Kultur
Das kulturimperialistische Übernehmen von als ausländisch gelesenen kulturellen Bräuchen; z.B. Dreadlocks bei Weißen
den Look von Schwarzer Kultur imitieren (als Weiße) und dann damit einen Trend prägen ( Kardashian-Zöpfe)
Keine Rückgabe von Kulturgütern (z.B. Benin-Bronzen) -> White Supremacy
Kulturelle Aneignung
kulturelle Aneignungen (Kleidung; Schmuck und Ähnliches)
Songs von Schwarzen kopieren und als Weiße richtig damit verdienen
Als weisse Person sich schwarz anmalen bzw. Eine stereotypisches Kostüm tragen
Andere Kulturen als Kostüm tragen : Blackface oder Indianer an Fasnacht
Andere Kulturen als Kostüm tragen : Blackface oder Indianer an Fasnacht
blackfacing
blackfacing
blackfacing
blackfacing
blackfacing
blackfacing
Als weisse Person sich schwarz anmalen bzw. Eine stereotypisches Kostüm tragen
Sich als als weisser schwarz anmalen
